nctid,stop_date,stop_status,restart_date,restart_status,why_stopped,covid19_explicit,restart_expected
NCT02134197,2019-12-09,Terminated,NA,NA,NA,FALSE,NA
NCT02626169,2019-12-09,Withdrawn,NA,NA,Pharmaceutical company sponsor withdrew support prior to enrollment of subjects.,FALSE,NA
NCT02743208,2019-12-09,Withdrawn,NA,NA,problem due to new regulations for CE-marking of implants; lack of funding,FALSE,NA
NCT02795338,2019-12-09,Withdrawn,NA,NA,Project did not receive funding,FALSE,NA
NCT02829372,2019-12-09,Terminated,2019-12-10,Completed,NA,FALSE,NA
NCT02860000,2019-12-09,Suspended,2021-06-17,"Active, not recruiting",full accrual met,FALSE,NA
NCT02895919,2019-12-09,Withdrawn,NA,NA,IRB expired,FALSE,NA
NCT02906670,2019-12-09,Terminated,NA,NA,Business reasons,FALSE,NA
NCT03106415,2019-12-09,Suspended,2020-06-11,Recruiting,DSMC Recommendation,FALSE,NA
NCT03123055,2019-12-09,Terminated,NA,NA,program has been put on hold by the sponsor,FALSE,NA
NCT03301506,2019-12-09,Suspended,2020-10-05,"Active, not recruiting",unexpected histological findings in a phase 2 study in NASH patients CB8025-21730,FALSE,NA
NCT03382886,2019-12-09,Terminated,NA,NA,PI decided to terminate due to low/slow accrual,FALSE,NA
NCT03397966,2019-12-09,Suspended,2020-05-15,"Active, not recruiting",awaiting supply of study drug,FALSE,NA
NCT03551522,2019-12-09,Suspended,2021-06-01,Completed,unexpected histological findings,FALSE,NA
NCT03602560,2019-12-09,Suspended,2021-05-26,Completed,unexpected histological findings in a phase 2 study in NASH patients CB8025-21730,FALSE,NA
NCT03688464,2019-12-09,Withdrawn,NA,NA,Study never started,FALSE,NA
NCT03936608,2019-12-09,Terminated,NA,NA,PI left Washington University,FALSE,NA
NCT04024813,2019-12-09,Suspended,2021-06-01,Completed,unexpected histological findings in a phase 2 study in NASH patients CB8025-21730,FALSE,NA
NCT01958580,2019-12-10,Terminated,NA,NA,Low accrual and PI left the institution,FALSE,NA
NCT02112552,2019-12-10,Terminated,NA,NA,Low accrual,FALSE,NA
NCT02170298,2019-12-10,Terminated,NA,NA,Lack of enrollment,FALSE,NA
NCT02254239,2019-12-10,Terminated,NA,NA,funding withdrawal,FALSE,NA
NCT02407171,2019-12-10,Suspended,NA,NA,Study suspended to determine if enrollment is sufficient to meet endpoints.,FALSE,NA
NCT02415010,2019-12-10,Terminated,NA,NA,NA,FALSE,NA
NCT02637713,2019-12-10,Terminated,NA,NA,Low Accrual,FALSE,NA
NCT02826473,2019-12-10,Terminated,NA,NA,Insufficient enrollment of eligible patients,FALSE,NA
NCT02898909,2019-12-10,Terminated,NA,NA,Major inclusion difficulties,FALSE,NA
NCT03040765,2019-12-10,Terminated,NA,NA,failed to recruit eligible subjects,FALSE,NA
NCT03063333,2019-12-10,Terminated,NA,NA,Head of project stopped,FALSE,NA
NCT03075553,2019-12-10,Terminated,NA,NA,due to poor response,FALSE,NA
NCT03222414,2019-12-10,Terminated,NA,NA,Changes in standard of care have altered the feasibility of the study.,FALSE,NA
NCT03720080,2019-12-10,Terminated,NA,NA,Enough information was gathered in order to answer the primary research question,FALSE,NA
NCT03879811,2019-12-10,Withdrawn,NA,NA,No accrual,FALSE,NA
NCT03897647,2019-12-10,Withdrawn,NA,NA,Administratively closed by the IRB,FALSE,NA
NCT01890707,2019-12-11,Terminated,NA,NA,Change in procedure.,FALSE,NA
NCT02029768,2019-12-11,Terminated,NA,NA,Could not reach recruitment goal,FALSE,NA
NCT02115048,2019-12-11,Terminated,NA,NA,Study was completed as per amended protocol. Protocol was amended to close enrollment earlier than initially planned (study continued as per plan).,FALSE,NA
NCT02272933,2019-12-11,Withdrawn,NA,NA,No Study Enrollment,FALSE,NA
NCT02282904,2019-12-11,Terminated,NA,NA,NA,FALSE,NA
NCT02304458,2019-12-11,Suspended,2020-03-30,"Active, not recruiting",Scheduled Interim Monitoring,FALSE,NA
NCT02886663,2019-12-11,Terminated,NA,NA,Major inclusion difficulties,FALSE,NA
NCT03496714,2019-12-11,Withdrawn,NA,NA,Decision made to develop different intervention,FALSE,NA
NCT03610932,2019-12-11,Withdrawn,NA,NA,Recruitment,FALSE,NA
NCT03805633,2019-12-11,Withdrawn,NA,NA,Person working on the trial left,FALSE,NA
NCT03814096,2019-12-11,Withdrawn,NA,NA,funding not secured,FALSE,NA
NCT03862872,2019-12-11,Suspended,NA,NA,Altered research priorities,FALSE,NA
NCT03942172,2019-12-11,Suspended,NA,NA,The study protocol needed to be modified,FALSE,NA
NCT00227617,2019-12-12,Terminated,NA,NA,Low accrual,FALSE,NA
NCT00437346,2019-12-12,Terminated,NA,NA,The project leader left our hospital and the project were shut down.,FALSE,NA
NCT02383992,2019-12-12,Withdrawn,NA,NA,"Participants never enrolled, study never started.",FALSE,NA
NCT02465983,2019-12-12,Terminated,NA,NA,Lack of efficacy and funding to continue investigation,FALSE,NA
NCT02614898,2019-12-12,Terminated,NA,NA,Terminated for administrative reasons before enrollment was complete.,FALSE,NA
NCT04199806,2019-12-12,Withdrawn,NA,NA,This is a retrospective study reviewing subject questionnaires. No treatments will be administered in this study.,FALSE,NA
NCT01545648,2019-12-13,Terminated,NA,NA,Low Accrual,FALSE,NA
NCT02257346,2019-12-13,Withdrawn,NA,NA,PI terminated study with no subjects enrolled.,FALSE,NA
NCT02328664,2019-12-13,Terminated,NA,NA,Interim analysis showed no added value of second look endoscopy,FALSE,NA
NCT02828358,2019-12-13,Suspended,2020-05-19,"Active, not recruiting",Scheduled Interim Monitoring,FALSE,NA
NCT02858362,2019-12-13,Terminated,NA,NA,The study was terminated due to lack of efficacy in Cohorts 1 and 2.,FALSE,NA
NCT03052894,2019-12-13,Terminated,NA,NA,Data collection issues from the electronic health record.,FALSE,NA
NCT03078504,2019-12-13,Terminated,NA,NA,Failure to recruit patients further,FALSE,NA
NCT03761303,2019-12-13,Withdrawn,NA,NA,No eligible patients could be recruited.,FALSE,NA
NCT03923361,2019-12-13,Withdrawn,NA,NA,Change in study design based on phase 1 data collection; patient burden was not feasible,FALSE,NA
NCT04040725,2019-12-13,Withdrawn,NA,NA,Withdrawn per Bayer,FALSE,NA
NCT02061228,2019-12-15,Terminated,NA,NA,"Safety concerns, apparent futility and protracted recruitment",FALSE,NA
NCT03597971,2019-12-15,Terminated,NA,NA,Sponsor decision,FALSE,NA
NCT01083108,2019-12-16,Terminated,NA,NA,NA,FALSE,NA
NCT01895582,2019-12-16,Terminated,NA,NA,lack of recruitment of participants,FALSE,NA
NCT02147964,2019-12-16,Withdrawn,NA,NA,No funding was obtained for this study.,FALSE,NA
NCT02433158,2019-12-16,Terminated,NA,NA,NA,FALSE,NA
NCT02487277,2019-12-16,Terminated,NA,NA,Low accrual,FALSE,NA
NCT02976558,2019-12-16,Terminated,NA,NA,"Due to organisational issues, the study had to be completed prematurely.",FALSE,NA
NCT02990273,2019-12-16,Suspended,NA,NA,IRB lapsed so we are in the process of resubmitting,FALSE,NA
NCT03105362,2019-12-16,Terminated,NA,NA,Issues w/ sponsor and recruitment,FALSE,NA
NCT03113786,2019-12-16,Terminated,2020-07-14,Completed,Insufficient enrollment,FALSE,NA
NCT03692338,2019-12-16,Terminated,NA,NA,Poor accrual,FALSE,NA
NCT03742804,2019-12-16,Withdrawn,NA,NA,Study sponsor sold and the new company would not support the study.,FALSE,NA
NCT03767439,2019-12-16,Withdrawn,NA,NA,Loss of funding,FALSE,NA
NCT03912116,2019-12-16,Withdrawn,NA,NA,Personnel Changes,FALSE,NA
NCT01107795,2019-12-17,Terminated,NA,NA,Participant attrition before final follow-up visit was greater than anticipated.,FALSE,NA
NCT01526928,2019-12-17,Terminated,NA,NA,NA,FALSE,NA
NCT01834235,2019-12-17,Terminated,NA,NA,DSMB terminated the trial for futility.,FALSE,NA
NCT02465528,2019-12-17,Terminated,NA,NA,NA,FALSE,NA
NCT02559960,2019-12-17,Suspended,NA,NA,NA,FALSE,NA
NCT02599649,2019-12-17,Terminated,NA,NA,Enrollment was stopped after the sponsor's decision not to pursue the development of lirilumab for myeloid malignancies.,FALSE,NA
NCT03053960,2019-12-17,Terminated,NA,NA,Terminated by IRB,FALSE,NA
NCT03269318,2019-12-17,Terminated,NA,NA,Change to Primary Endpoint resulted in development of new protocol,FALSE,NA
NCT03488433,2019-12-17,Withdrawn,NA,NA,PI institutional transition prior to enrollment,FALSE,NA
NCT03543475,2019-12-17,Terminated,NA,NA,competing trial on same population.,FALSE,NA
NCT03556501,2019-12-17,Terminated,NA,NA,Lack of enrollment numbers - participants are no longer being examined,FALSE,NA
NCT03658135,2019-12-17,Terminated,NA,NA,BIIB092 program discontinued,FALSE,NA
NCT03693391,2019-12-17,Terminated,NA,NA,stopped because of a business decision,FALSE,NA
NCT03800446,2019-12-17,Withdrawn,NA,NA,Lack of funding,FALSE,NA
NCT03907072,2019-12-17,Suspended,NA,NA,Lack of efficacy,FALSE,NA
NCT03957122,2019-12-17,Terminated,NA,NA,The number of responders in the test sessions was too low.,FALSE,NA
NCT04106076,2019-12-17,Withdrawn,NA,NA,The trial was discontinued due to sponsor's decision and not a consequence of any safety concern,FALSE,NA
NCT00616122,2019-12-18,Terminated,NA,NA,Risk to benefit ratio not acceptable,FALSE,NA
NCT01437605,2019-12-18,Terminated,NA,NA,Treatment Ineffective,FALSE,NA
NCT01641601,2019-12-18,Terminated,NA,NA,Inadequate enrollment. Key study personnel transitioned to a different role.,FALSE,NA
NCT01887691,2019-12-18,Terminated,NA,NA,NA,FALSE,NA
NCT02347280,2019-12-18,Terminated,NA,NA,Low accrual,FALSE,NA
NCT03109418,2019-12-18,Terminated,NA,NA,Recruitment challenges,FALSE,NA
NCT03292653,2019-12-18,Suspended,NA,NA,Enrolment was paused in order to allow amending the protocol to facilitate enrolment into cohort 3,FALSE,NA
NCT03417154,2019-12-18,Suspended,2022-04-11,Completed,Treatment ineffective,FALSE,NA
NCT03479424,2019-12-18,Terminated,NA,NA,Slow recruitment,FALSE,NA
NCT02760615,2019-12-19,Suspended,NA,NA,NA,FALSE,NA
NCT02818946,2019-12-19,Terminated,NA,NA,low enrollment,FALSE,NA
NCT03036826,2019-12-19,Withdrawn,NA,NA,due to organisational changes,FALSE,NA
NCT03387033,2019-12-19,Suspended,NA,NA,Study is on hold pending data analysis,FALSE,NA
NCT03423082,2019-12-19,Terminated,NA,NA,Limited subject enrollment,FALSE,NA
NCT03465891,2019-12-19,Terminated,NA,NA,Low accrual and lack of funding.,FALSE,NA
NCT04007367,2019-12-19,Suspended,NA,NA,Evaluating potential amendments to the study,FALSE,NA
NCT02515136,2019-12-20,Terminated,NA,NA,NA,FALSE,NA
NCT02894333,2019-12-20,Terminated,NA,NA,NA,FALSE,NA
NCT02907177,2019-12-20,Terminated,2020-01-31,"Active, not recruiting",sponsor decision due to low recruitment,FALSE,NA
NCT02996149,2019-12-20,Terminated,NA,NA,Technique no longer available,FALSE,NA
NCT03901547,2019-12-20,Withdrawn,NA,NA,Combination of no funding and time commitments on PI,FALSE,NA
NCT04208451,2019-12-20,Terminated,NA,NA,All required data are already collected.,FALSE,NA
NCT03016260,2019-12-21,Terminated,NA,NA,NA,FALSE,NA
NCT01041027,2019-12-22,Terminated,NA,NA,"We had low accrual and given PORTEC3 results, the study is no longer valid.",FALSE,NA
NCT03271229,2019-12-22,Withdrawn,NA,NA,Funding,FALSE,NA
NCT03018067,2019-12-23,Terminated,NA,NA,Sponsor stopped program],FALSE,NA
NCT03056378,2019-12-23,Withdrawn,NA,NA,No patients enrolled. Study withdrawn.,FALSE,NA
NCT03739814,2019-12-23,Suspended,2020-07-02,Recruiting,Other - Request for Amendment,FALSE,NA
NCT01367301,2019-12-24,Terminated,NA,NA,There was a lack of accrual,FALSE,NA
NCT01532804,2019-12-24,Terminated,NA,NA,too slow recruiting,FALSE,NA
NCT01676441,2019-12-24,Terminated,2020-01-30,Recruiting,sponsor decision (confidential),FALSE,NA
NCT01950910,2019-12-24,Suspended,NA,NA,Measures are being taken to recruit a research scientist,FALSE,NA
NCT01954875,2019-12-24,Withdrawn,NA,NA,Study no longer funded,FALSE,NA
NCT02098915,2019-12-24,Terminated,NA,NA,Decision to prematurely close the trial was made because of poor recruitment.,FALSE,NA
NCT02567409,2019-12-24,Suspended,2020-01-24,"Active, not recruiting",Scheduled Interim Monitoring,FALSE,NA
NCT03065374,2019-12-24,Terminated,NA,NA,Study was stopped due to slow recruitment. All subjects completed their participation including follow up period per protocol. No safety issues.,FALSE,NA
NCT03382613,2019-12-24,Terminated,NA,NA,Operating Company decided to stop study due to strategic realignment and budgetary reasons,FALSE,NA
NCT01470742,2019-12-26,Withdrawn,NA,NA,We stop because of problems such as insurance.,FALSE,NA
NCT02523690,2019-12-26,Terminated,NA,NA,Slow recruitment of eligible patients,FALSE,NA
NCT02530931,2019-12-26,Suspended,NA,NA,principal investigator is not present,FALSE,NA
NCT02691780,2019-12-26,Withdrawn,NA,NA,not enrolled,FALSE,NA
NCT02733211,2019-12-26,Withdrawn,NA,NA,Finally it was decided not to initiate the study due to logistical issues,FALSE,NA
NCT02889042,2019-12-26,Terminated,NA,NA,not enough patients,FALSE,NA
NCT03119467,2019-12-26,Terminated,NA,NA,Study has been stopped after reviewing PK and safety results,FALSE,NA
NCT03133117,2019-12-26,Terminated,NA,NA,not enough patients,FALSE,NA
NCT03323177,2019-12-26,Withdrawn,NA,NA,finally it was decided not to initiate the study due to logistical issues,FALSE,NA
NCT04061980,2019-12-26,Withdrawn,2020-02-03,Not yet recruiting,Decided to not open at OHSU due to staff transitions,FALSE,NA
NCT00342927,2019-12-27,Suspended,NA,NA,NA,FALSE,NA
NCT01105858,2019-12-27,Suspended,NA,NA,NA,FALSE,NA
NCT02835183,2019-12-27,Withdrawn,NA,NA,NA,FALSE,NA
NCT03517735,2019-12-27,Suspended,NA,NA,Update of the technical documentation of the device,FALSE,NA
NCT03540875,2019-12-27,Suspended,NA,NA,Update of the technical documentation of the device,FALSE,NA
NCT03681301,2019-12-27,Terminated,NA,NA,Early Terminated,FALSE,NA
NCT03935347,2019-12-27,Withdrawn,NA,NA,no accrual,FALSE,NA
NCT00394602,2019-12-30,Terminated,NA,NA,Requested by PI during yearly Continuing Review,FALSE,NA
NCT00992693,2019-12-30,Withdrawn,NA,NA,NA,FALSE,NA
NCT01165658,2019-12-30,Terminated,NA,NA,Requested by PI during yearly Continuing Review,FALSE,NA
NCT01185366,2019-12-30,Terminated,NA,NA,NA,FALSE,NA
NCT02101554,2019-12-30,Terminated,NA,NA,Pfizer released from post-marketing commitment and study terminated because too few patients in the age group; not because of efficacy or safety issues.,FALSE,NA
NCT02470728,2019-12-30,Suspended,NA,NA,Pending funding,FALSE,NA
NCT02974686,2019-12-30,Terminated,NA,NA,low recruitment,FALSE,NA
NCT03281239,2019-12-30,Terminated,NA,NA,"in view of the difficulties of inclusion in this study, it was decided not to extend this period",FALSE,NA
NCT03386786,2019-12-30,Terminated,NA,NA,Business decision to close study due to slow enrollment.,FALSE,NA
NCT03443284,2019-12-30,Terminated,NA,NA,Business decision to close study due to low and slow enrollment.,FALSE,NA
NCT03665298,2019-12-30,Withdrawn,NA,NA,The study was never started by the responsible party (medical student who is no longer at the institution).,FALSE,NA
NCT03937557,2019-12-30,Withdrawn,NA,NA,Insufficient funds,FALSE,NA
NCT03992157,2019-12-30,Terminated,NA,NA,"Medical practices have evolved and are not conform with the study procedure. Actually, all patients receive an ambulatory ECG telemetry monitoring",FALSE,NA
NCT04123483,2019-12-30,Withdrawn,NA,NA,Cancellation of funding contract,FALSE,NA
NCT00519272,2019-12-31,Terminated,NA,NA,Requested by PI during yearly Continuing Review,FALSE,NA
NCT00738998,2019-12-31,Terminated,NA,NA,Requested by PI,FALSE,NA
NCT01952860,2019-12-31,Terminated,NA,NA,Requested by PI during yearly Continuing Review,FALSE,NA
NCT02633059,2019-12-31,Suspended,2020-03-02,"Active, not recruiting",pending determination of funding,FALSE,NA
NCT02980198,2019-12-31,Withdrawn,NA,NA,reorganization proceedings with a potential risk of company liquidation,FALSE,NA
NCT03440411,2019-12-31,Terminated,NA,NA,Low enrollment,FALSE,NA
NCT03678493,2019-12-31,Suspended,2020-09-01,Recruiting,temporarily closed to accrual,FALSE,NA
NCT03728699,2019-12-31,Suspended,2020-02-13,Recruiting,IRB provided RNI,FALSE,NA
NCT02933671,2020-01-02,Suspended,2020-02-11,Recruiting,pending amendment,FALSE,NA
NCT03306628,2020-01-02,Withdrawn,NA,NA,Dr. Hazen is no longer full-time faculty / was not able to find an appropriate PI to take over study.,FALSE,NA
NCT03490669,2020-01-02,Terminated,NA,NA,Safety and PK/PD data from Dose Escalation support further development; Dose Expansion canceled,FALSE,NA
NCT03502473,2020-01-02,Withdrawn,NA,NA,Sponsor decision was made not to initiate and to focus on other initiatives,FALSE,NA
NCT02003092,2020-01-03,Terminated,NA,NA,NA,FALSE,NA
NCT02414165,2020-01-03,Terminated,NA,NA,Sponsor Decision,FALSE,NA
NCT02489201,2020-01-03,Suspended,NA,NA,NA,FALSE,NA
NCT02489214,2020-01-03,Suspended,NA,NA,NA,FALSE,NA
NCT02576665,2020-01-03,Terminated,NA,NA,Sponsor decision,FALSE,NA
NCT02743559,2020-01-03,Withdrawn,NA,NA,NA,FALSE,NA
NCT02753816,2020-01-03,Terminated,NA,NA,Study enrollment and goals unable to be reached.,FALSE,NA
NCT03005054,2020-01-03,Terminated,NA,NA,Protracted enrollment and limited efficacy in the first three subjects,FALSE,NA
NCT03206788,2020-01-03,Terminated,NA,NA,due to slow enrollment and approval of the Trikafta for CF patients,FALSE,NA
NCT03500406,2020-01-03,Terminated,NA,NA,PI changed subspecialties and no longer had access to main study population,FALSE,NA
NCT03511365,2020-01-03,Terminated,NA,NA,IRB haulted the study there was no evidence that the probiotic would benefit the patient,FALSE,NA
NCT03702686,2020-01-03,Suspended,NA,NA,evaluating feasibility,FALSE,NA
NCT04219111,2020-01-03,Withdrawn,NA,NA,"STUDY LOOKING AT SAMPLES ONLY, NO PARTICIPANT ENROLMENT REQUIRED",FALSE,NA
NCT02507973,2020-01-04,Terminated,NA,NA,Unable to successfully recruit patients for study.,FALSE,NA
NCT01891500,2020-01-05,Withdrawn,NA,NA,Difficult to identify subjects who meet enrollment criteria.,FALSE,NA
NCT00759798,2020-01-06,Terminated,2020-05-31,"Active, not recruiting",All patients have been taken off study.,FALSE,NA
NCT01317030,2020-01-06,Terminated,NA,NA,Study was terminated due to a business decision to cancel the entire project.,FALSE,NA
NCT01349036,2020-01-06,Terminated,NA,NA,Business Decision,FALSE,NA
NCT02246920,2020-01-06,Terminated,NA,NA,Development Halted,FALSE,NA
NCT02503735,2020-01-06,Terminated,NA,NA,Unable to meet enrollment goal,FALSE,NA
NCT02692157,2020-01-06,Terminated,NA,NA,NA,FALSE,NA
NCT02717247,2020-01-06,Terminated,NA,NA,the princcipal investigator went abroad,FALSE,NA
NCT02726399,2020-01-06,Terminated,NA,NA,Low accrual rate,FALSE,NA
NCT02900976,2020-01-06,Suspended,2020-05-13,Recruiting,Unacceptable Toxicity,FALSE,NA
NCT02946918,2020-01-06,Terminated,NA,NA,Terminating study as sponsor has sold the drug to another company,FALSE,NA
NCT03040427,2020-01-06,Terminated,NA,NA,Low enrollment,FALSE,NA
NCT03161457,2020-01-06,Terminated,NA,NA,The development was stopped due to company's strategy consideration,FALSE,NA
NCT03167190,2020-01-06,Terminated,NA,NA,Failed to meet target enrollment,FALSE,NA
NCT03284060,2020-01-06,Terminated,NA,NA,inclusion difficulties,FALSE,NA
NCT03371823,2020-01-06,Terminated,NA,NA,We experienced challenges recruiting unmedicated women with high blood pressure for the intervention.,FALSE,NA
NCT03670888,2020-01-06,Terminated,NA,NA,The development was stopped due to company's strategy consideration,FALSE,NA
NCT03670901,2020-01-06,Terminated,NA,NA,The development was stopped due to company's strategy consideration,FALSE,NA
NCT03754296,2020-01-06,Withdrawn,NA,NA,Strategic decision,FALSE,NA
NCT03760445,2020-01-06,Withdrawn,NA,NA,It was determined that the study design may not be optimal given the changing AML treatment landscape.,FALSE,NA
NCT03872440,2020-01-06,Withdrawn,NA,NA,Did not meet the expected enrollment rate.,FALSE,NA
NCT04044651,2020-01-06,Withdrawn,NA,NA,Bristol-Myers Squibb company terminated this study,FALSE,NA
NCT04045730,2020-01-06,Withdrawn,NA,NA,Halozyme isn't allowing this trial to move forward until their current clinical trial results are released.,FALSE,NA
NCT04082715,2020-01-06,Withdrawn,NA,NA,we don't have enough research funding.,FALSE,NA
NCT04219982,2020-01-06,Terminated,NA,NA,Failure to meet enrollment,FALSE,NA
NCT00752206,2020-01-07,Terminated,NA,NA,The Data Safety Monitoring Board (DSMB) recommended study termination for slow accrual and futility.,FALSE,NA
NCT01846182,2020-01-07,Terminated,NA,NA,Terminated by Funder,FALSE,NA
NCT02025426,2020-01-07,Terminated,NA,NA,Significant challenges recruiting a difficult patient population with most surgeries occurring out of hours,FALSE,NA
NCT02226497,2020-01-07,Terminated,NA,NA,Insufficient staff,FALSE,NA
NCT02358200,2020-01-07,Terminated,NA,NA,Funding support for the study was terminated,FALSE,NA
NCT02519270,2020-01-07,Suspended,2021-04-16,Recruiting,NA,FALSE,NA
NCT02620839,2020-01-07,Terminated,NA,NA,Funding,FALSE,NA
NCT02684071,2020-01-07,Terminated,NA,NA,Lack of additional funding; patients (3) no longer receiving intervention.,FALSE,NA
NCT03119571,2020-01-07,Terminated,NA,NA,"Low enrollment, funding withdrawn",FALSE,NA
NCT03181685,2020-01-07,Terminated,NA,NA,27 couples were recruited. This unexpected poor recruitment was due to more clinical pregnancies (for a better patients' selection) and more freeze-all cycles.,FALSE,NA
NCT03210480,2020-01-07,Terminated,NA,NA,Sponsor's decision due to slow enrollment rate.,FALSE,NA
NCT03250312,2020-01-07,Terminated,NA,NA,Study Partner Left. Samples degraded before analysis.,FALSE,NA
