nctid,why_stopped,covid19_explicit,restart_expected
NCT04560686,Per PI Request,FALSE,NA
NCT04509336,COVID 19 Pandemic,TRUE,FALSE
NCT04492254,"Average event rate (end point) was much lower than expected. A larger sample size would have been required to maintain same statistical power, which was not achievable in a feasible time scale. No safety concerns were identified with bleeding.",FALSE,NA
NCT04485130,"Low COVID case numbers, competing COVID treatments available",FALSE,NA
NCT04478136,This protocol was never initiated,FALSE,NA
NCT04420845,The study was significantly delayed due to the COVID-19 pandemic. The PI has chosen not to conduct the study.,TRUE,FALSE
NCT04430959,"The reason the study was withdrawn was due to lack of funds. In addition, the PI is moving to a different institution and it would not be feasible to proceed with the study under these circumstances.",FALSE,NA
NCT04396860,Scheduled Interim Monitoring,FALSE,NA
NCT04387240,did not get enough fund and IRB request,FALSE,NA
NCT04009460,Sponsor's clinical development strategy adjustment,FALSE,NA
NCT04040790,"Several reasons: Financing ended before all study assessments were performed, covid-19 delayed design, production and shipment of IMD, experience gained during the study made it clear that lens design should be changed",TRUE,FALSE
NCT04042727,"Futility, as a result of CIVID-19 impact",TRUE,FALSE
NCT04061330,Study was terminated prior to enrollment due to lack of funding,FALSE,NA
NCT04095247,for few participants recruited,FALSE,NA
NCT04127656,Insufficient recruitment,FALSE,NA
NCT04142814,Patients case mix changed and did not match anymore with selection criteria,FALSE,NA
NCT04195620,University affiliation changed and I was unable to transfer the grant that was funding the project,FALSE,NA
NCT04214093,Strategic change to clinical development plan,FALSE,NA
NCT04250311,"Due to the end of the ARVI and influenza season, it has been suspended until approximately October 01, 2022",FALSE,NA
NCT04257721,rate of inclusions too low,FALSE,NA
NCT04259775,Needed FDA approval,FALSE,NA
NCT04328558,no participants,FALSE,NA
NCT04332497,no participants,FALSE,NA
NCT03973177,Covid restrictions on recruitment,TRUE,FALSE
NCT03866421,Due to recruitment as we were challenged in finding patients eligible for the study.,FALSE,NA
NCT03875794,There is no one to transfer to study to and no one interested in this research study. I am taking 8 months off from being a physician so the study needs to be closed,FALSE,NA
NCT03878914,The study was terminated at all but one site because of the pandemic,FALSE,NA
NCT03829631,Covid-19 Pandemic,TRUE,FALSE
NCT03829644,Covid-19 Pandemic,TRUE,FALSE
NCT03865212,Funding,FALSE,NA
NCT03254732,Changing Corporate Priorities,FALSE,NA
NCT03316222,"only phase 1b was completed and the phase 2 will be an another study, finally",FALSE,NA
NCT03472495,PI is on leave and study is suspended until they return,FALSE,NA
NCT03764761,"COVID halted data collection in the final year. We had collected enough data that analysis was able to be conducted, albeit with a slightly smaller sample",TRUE,FALSE
NCT03034902,The collaborating investigator has moved and cannot collect further data.,FALSE,NA
NCT02987959,Closed to accrual due to Funding Sponsor withdrawing support due to low accrual,FALSE,NA
NCT02940548,The patient recruitment and follow-ups were influenced with the pandemic of COVID-19,TRUE,FALSE
NCT02863380,recruitment difficulties,FALSE,NA
NCT02254642,recruitment difficulties,FALSE,NA
NCT02309593,"PI change, hospital change and covid -19 caused lost-to-follow up of most of the subjects",TRUE,FALSE
NCT02420717,Study was closed early due to low accrual and lack of response.,FALSE,NA
NCT02423785,Slow recruitment,FALSE,NA
NCT02465138,Lack of Funding,FALSE,NA
NCT02524249,Frequent protocol violations,FALSE,NA
NCT02590523,Lack of antibiotic availability,FALSE,NA
NCT02801656,Not funded,FALSE,NA
NCT01221415,not enough manpower,FALSE,NA
NCT01547468,inactivity and unable to complete due to manpower issues,FALSE,NA
NCT01573390,most of the study team left the institution prior to study initiation,FALSE,NA
NCT01608451,Slow accrual implies that clinical questions being questioned have lost its significance.,FALSE,NA
NCT02043587,Original investigator for the trial has left,FALSE,NA
NCT02173613,NA,FALSE,NA
NCT01123499,Slow/Insufficient accrual,FALSE,NA
NCT00358163,NA,FALSE,NA
NCT00488072,closed to accrual,FALSE,NA
NCT00788125,Terminated early due a shift in resources after lackluster performance of the drug.,FALSE,NA
