nctid,why_stopped,covid19_explicit,restart_expected
NCT04397029,The benefit of completing the study was not worth exposing subjects to the risk during COVID. Delaying the return visits would make it difficult to analyze the changes in data overtime.,TRUE,FALSE
NCT04461964,funding for the study has stopped,FALSE,NA
NCT04482036,"The Principle Investigator changed careers and relinquished their NIA funded career development award, which funded the MOMENT Study. Career development awards are not transferable. Thus, the study was terminated prematurely.",FALSE,NA
NCT04636034,Recruitment failure,FALSE,NA
NCT04652856,"We are withdrawing this study due to issues with recruitment. These issues arose as a result of the COVID-19 pandemic, effecting the availability of patients and our ability as a lab to work with these patients.",TRUE,FALSE
NCT04660903,Severe adverse reaction on patient,FALSE,NA
NCT04700787,Enrollment challenges and change in development plan necessitating a change in study design,FALSE,NA
NCT04759872,Unsuccessful enrollment during COVID-19 pandemic.,TRUE,FALSE
NCT04829799,"Per study team, the study will not proceed",FALSE,NA
NCT04919798,Costs exceeding budget,FALSE,NA
NCT04969406,Enrollment Difficulty,FALSE,NA
NCT05086835,Study ended prematurely due to PI departing institution for another position.,FALSE,NA
NCT05211336,"Temporary Stop, initiated by PI. Due to an unanticipated problem of acute life-threatening liver toxicity observed in one of the participants.",FALSE,NA
