nctid,why_stopped,covid19_explicit,restart_expected
NCT04026347,Missed endpoint,FALSE,NA
NCT03646513,Product recalled. Sponsor decision to discontinuer study.,FALSE,NA
NCT03655821,"81 patients included, difficult inclusion and full inclusion would not change the results",FALSE,NA
NCT03655990,Impact of COVID-19 on Recruitment,TRUE,FALSE
NCT03562000,"The primary evalution criteria had a so few occurrence that it has been a fundamental obstacle to randomize patient. The use of mecanical aide to cough is more widly employ, creating a second limitation.",FALSE,NA
NCT03585595,The study was not funded.,FALSE,NA
NCT03593564,The study team experienced technology challenges with the digital platform used to deliver the intervention and to collect data. Data collection surveys would be automatically sent to participants before participants completed intervention modules.,FALSE,NA
NCT03597035,The study could not enroll patients owing to the inclusion exclusion criteria,FALSE,NA
NCT03616912,Study terminated due to insufficient evidence to support a positive benefit: risk ratio. Safety findings were consistent with previously published OLUMIANT data,FALSE,NA
NCT03628391,The study was stopped because of futility of being able to reach a one-day difference between treatment groups in the primary outcome of DCFD in the intended sample size.,FALSE,NA
NCT03483987,Difficulty in recruiting the participants,FALSE,NA
NCT03317314,Study was considered not useful and competing with another study in clinical context,FALSE,NA
NCT03230773,Postponed,FALSE,NA
NCT03137576,Poor recruiting and transfer of the PI to another center,FALSE,NA
NCT03186794,Research activities were suspended due to the COVID-19 pandemic,TRUE,FALSE
NCT03074305,cannot use bioabsorbable scaffold,FALSE,NA
NCT03084666,Recruitment difficulties,FALSE,NA
NCT03094832,This study did not meet the efficacy objective,FALSE,NA
NCT03106805,no participants,FALSE,NA
NCT03119012,cannot use bioabsorbable scaffold,FALSE,NA
NCT03039764,Paused due to COVID and the study has expired. The PI left the institution in 2021 and another PI has not been assigned.,TRUE,FALSE
NCT03058653,Covid-19,TRUE,FALSE
NCT03016104,The problems of MST device,FALSE,NA
NCT03032471,COVID-restrictions on clinical research in Switzerland,TRUE,FALSE
NCT02924935,Did not move forward...application from ethics withdrawn,FALSE,NA
NCT02757677,Difficulties with recruitment,FALSE,NA
NCT02837757,difficulty of patient recruitment,FALSE,NA
NCT01744912,Sponsor's decision,FALSE,NA
NCT02060487,Study was terminated by Sponsor at recommendation of Data Monitoring Committee after completion of first interim analysis as primary objective was met.,FALSE,NA
NCT02121405,DSMB stopped this trial due to the difference of 3-year DFS's rate between two groups more than 5% at the interim analysis in July 2021.,FALSE,NA
NCT02246530,Study terminated prematurely due to inability to complete recruitment of subjects for each of the trial groups (treatment and control).,FALSE,NA
NCT02282917,Drug manufacturing logistics; lack of access to drug supply,FALSE,NA
NCT02343757,Not enough patient enrollment,FALSE,NA
NCT02377479,Study never started,FALSE,NA
NCT02377492,Study never started,FALSE,NA
